"case","event","startTime","completeTime","simulated:logProbability","concept:simulated"
"0","CC_OM_start_event_","2022/10/28 19:06:01.177","2022/10/28 19:06:01.177","-0.6931471805599453","true"
"0","event_MESSAGE_CC_receive order request","2022/10/28 19:07:01.177","2022/10/28 19:07:01.177","-0.6931471805599453","true"
"0","check availability order","2022/10/28 19:08:01.177","2022/10/28 19:08:01.177","-0.6931471805599453","true"
"0","elaborate service","2022/10/28 19:11:01.177","2022/10/28 19:11:01.177","-0.6931471805599453","true"
"0","event_MESSAGE_send availability notification and personal info request","2022/10/28 19:12:01.177","2022/10/28 19:12:01.177","-0.6931471805599453","true"
"0","event_MESSAGE_receive personal info","2022/10/28 19:13:01.177","2022/10/28 19:13:01.177","-0.6931471805599453","true"
"0","event_MESSAGE_send order request with info subscriber","2022/10/28 19:14:01.177","2022/10/28 19:14:01.177","-0.6931471805599453","true"
"0","event_MESSAGE_receive installation confirm","2022/10/28 19:15:01.177","2022/10/28 19:15:01.177","-0.6931471805599453","true"
"0","CC_OM_end_event_","2022/10/28 19:16:01.177","2022/10/28 19:16:01.177","-0.6931471805599453","true"
"1","CC_OM_start_event_","2022/10/28 19:12:11.338","2022/10/28 19:12:11.338","-0.6931471805599453","true"
"1","event_MESSAGE_CC_receive order request","2022/10/28 19:13:11.338","2022/10/28 19:13:11.338","-0.6931471805599453","true"
"1","check availability order","2022/10/28 19:14:11.338","2022/10/28 19:14:11.338","-0.6931471805599453","true"
"1","end_event_notification unavailability","2022/10/28 19:17:11.338","2022/10/28 19:17:11.338","-0.6931471805599453","true"
"2","CC_OM_start_event_","2022/10/28 19:15:26.490","2022/10/28 19:15:26.490","-0.6931471805599453","true"
"2","event_MESSAGE_CC_receive order request","2022/10/28 19:16:26.490","2022/10/28 19:16:26.490","-0.6931471805599453","true"
"2","check availability order","2022/10/28 19:17:26.490","2022/10/28 19:17:26.490","-0.6931471805599453","true"
"2","end_event_notification unavailability","2022/10/28 19:20:26.490","2022/10/28 19:20:26.490","-0.6931471805599453","true"
"3","CC_OM_start_event_","2022/10/28 19:28:11.614","2022/10/28 19:28:11.614","-0.6931471805599453","true"
"3","event_MESSAGE_CC_receive order request","2022/10/28 19:29:11.614","2022/10/28 19:29:11.614","-0.6931471805599453","true"
"3","check availability order","2022/10/28 19:30:11.614","2022/10/28 19:30:11.614","-0.6931471805599453","true"
"3","end_event_notification unavailability","2022/10/28 19:33:11.614","2022/10/28 19:33:11.614","-0.6931471805599453","true"
"4","CC_OM_start_event_","2022/10/28 19:31:27.432","2022/10/28 19:31:27.432","-0.6931471805599453","true"
"4","event_MESSAGE_CC_receive order request","2022/10/28 19:32:27.432","2022/10/28 19:32:27.432","-0.6931471805599453","true"
"4","check availability order","2022/10/28 19:33:27.432","2022/10/28 19:33:27.432","-0.6931471805599453","true"
"4","elaborate service","2022/10/28 19:36:27.432","2022/10/28 19:36:27.432","-0.6931471805599453","true"
"4","event_MESSAGE_send availability notification and personal info request","2022/10/28 19:37:27.432","2022/10/28 19:37:27.432","-0.6931471805599453","true"
"4","event_MESSAGE_receive personal info","2022/10/28 19:38:27.432","2022/10/28 19:38:27.432","-0.6931471805599453","true"
"4","event_MESSAGE_send order request with info subscriber","2022/10/28 19:39:27.432","2022/10/28 19:39:27.432","-0.6931471805599453","true"
"4","event_MESSAGE_receive installation confirm","2022/10/28 19:40:27.432","2022/10/28 19:40:27.432","-0.6931471805599453","true"
"4","CC_OM_end_event_","2022/10/28 19:41:27.432","2022/10/28 19:41:27.432","-0.6931471805599453","true"
"5","CC_OM_start_event_","2022/10/28 19:33:41.998","2022/10/28 19:33:41.998","-0.6931471805599453","true"
"5","event_MESSAGE_CC_receive order request","2022/10/28 19:34:41.998","2022/10/28 19:34:41.998","-0.6931471805599453","true"
"5","check availability order","2022/10/28 19:35:41.998","2022/10/28 19:35:41.998","-0.6931471805599453","true"
"5","end_event_notification unavailability","2022/10/28 19:38:41.998","2022/10/28 19:38:41.998","-0.6931471805599453","true"
"6","CC_OM_start_event_","2022/10/28 19:33:55.121","2022/10/28 19:33:55.121","-0.6931471805599453","true"
"6","event_MESSAGE_CC_receive order request","2022/10/28 19:34:55.121","2022/10/28 19:34:55.121","-0.6931471805599453","true"
"6","check availability order","2022/10/28 19:35:55.121","2022/10/28 19:35:55.121","-0.6931471805599453","true"
"6","end_event_notification unavailability","2022/10/28 19:38:55.121","2022/10/28 19:38:55.121","-0.6931471805599453","true"
"7","CC_OM_start_event_","2022/10/28 19:35:56.459","2022/10/28 19:35:56.459","-0.6931471805599453","true"
"7","event_MESSAGE_CC_receive order request","2022/10/28 19:36:56.459","2022/10/28 19:36:56.459","-0.6931471805599453","true"
"7","check availability order","2022/10/28 19:37:56.459","2022/10/28 19:37:56.459","-0.6931471805599453","true"
"7","elaborate service","2022/10/28 19:40:56.459","2022/10/28 19:40:56.459","-0.6931471805599453","true"
"7","event_MESSAGE_send availability notification and personal info request","2022/10/28 19:41:56.459","2022/10/28 19:41:56.459","-0.6931471805599453","true"
"7","event_MESSAGE_receive personal info","2022/10/28 19:42:56.459","2022/10/28 19:42:56.459","-0.6931471805599453","true"
"7","event_MESSAGE_send order request with info subscriber","2022/10/28 19:43:56.459","2022/10/28 19:43:56.459","-0.6931471805599453","true"
"7","event_MESSAGE_receive installation confirm","2022/10/28 19:44:56.459","2022/10/28 19:44:56.459","-0.6931471805599453","true"
"7","CC_OM_end_event_","2022/10/28 19:45:56.459","2022/10/28 19:45:56.459","-0.6931471805599453","true"
"8","CC_OM_start_event_","2022/10/28 19:37:21.578","2022/10/28 19:37:21.578","-0.6931471805599453","true"
"8","event_MESSAGE_CC_receive order request","2022/10/28 19:38:21.578","2022/10/28 19:38:21.578","-0.6931471805599453","true"
"8","check availability order","2022/10/28 19:39:21.578","2022/10/28 19:39:21.578","-0.6931471805599453","true"
"8","elaborate service","2022/10/28 19:42:21.578","2022/10/28 19:42:21.578","-0.6931471805599453","true"
"8","event_MESSAGE_send availability notification and personal info request","2022/10/28 19:43:21.578","2022/10/28 19:43:21.578","-0.6931471805599453","true"
"8","event_MESSAGE_receive personal info","2022/10/28 19:44:21.578","2022/10/28 19:44:21.578","-0.6931471805599453","true"
"8","event_MESSAGE_send order request with info subscriber","2022/10/28 19:45:21.578","2022/10/28 19:45:21.578","-0.6931471805599453","true"
"8","event_MESSAGE_receive installation confirm","2022/10/28 19:46:21.578","2022/10/28 19:46:21.578","-0.6931471805599453","true"
"8","CC_OM_end_event_","2022/10/28 19:47:21.578","2022/10/28 19:47:21.578","-0.6931471805599453","true"
"9","CC_OM_start_event_","2022/10/28 19:45:27.654","2022/10/28 19:45:27.654","-0.6931471805599453","true"
