"case","event","startTime","completeTime","simulated:logProbability","concept:simulated"
"0","start_event_compliant","2022/10/28 19:07:00.389","2022/10/28 19:07:00.389","-0.6931471805599453","true"
"0","identify service agent","2022/10/28 19:08:00.389","2022/10/28 19:08:00.389","-0.6931471805599453","true"
"0","retrieve SLA","2022/10/28 19:09:00.389","2022/10/28 19:09:00.389","-0.6931471805599453","true"
"0","event_MESSAGE_forward compliant","2022/10/28 19:12:00.389","2022/10/28 19:12:00.389","-0.6931471805599453","true"
"0","event_MESSAGE_installation confirm","2022/10/28 19:13:00.389","2022/10/28 19:13:00.389","-0.6931471805599453","true"
"0","CC_CM_end_event_","2022/10/28 19:14:00.389","2022/10/28 19:14:00.389","-0.6931471805599453","true"
"1","start_event_compliant","2022/10/28 19:10:29.702","2022/10/28 19:10:29.702","-0.6931471805599453","true"
"1","identify service agent","2022/10/28 19:11:29.702","2022/10/28 19:11:29.702","-0.6931471805599453","true"
"1","retrieve SLA","2022/10/28 19:12:29.702","2022/10/28 19:12:29.702","-0.6931471805599453","true"
"1","event_MESSAGE_forward compliant","2022/10/28 19:15:29.702","2022/10/28 19:15:29.702","-0.6931471805599453","true"
"1","event_MESSAGE_installation confirm","2022/10/28 19:16:29.702","2022/10/28 19:16:29.702","-0.6931471805599453","true"
"1","CC_CM_end_event_","2022/10/28 19:17:29.702","2022/10/28 19:17:29.702","-0.6931471805599453","true"
"2","start_event_compliant","2022/10/28 19:12:13.632","2022/10/28 19:12:13.632","-0.6931471805599453","true"
"2","identify service agent","2022/10/28 19:13:13.632","2022/10/28 19:13:13.632","-0.6931471805599453","true"
"2","retrieve SLA","2022/10/28 19:14:13.632","2022/10/28 19:14:13.632","-0.6931471805599453","true"
"2","end_event_keep calm","2022/10/28 19:17:13.632","2022/10/28 19:17:13.632","-0.6931471805599453","true"
"3","start_event_compliant","2022/10/28 19:15:33.944","2022/10/28 19:15:33.944","-0.6931471805599453","true"
"3","identify service agent","2022/10/28 19:16:33.944","2022/10/28 19:16:33.944","-0.6931471805599453","true"
"3","retrieve SLA","2022/10/28 19:17:33.944","2022/10/28 19:17:33.944","-0.6931471805599453","true"
"3","end_event_keep calm","2022/10/28 19:20:33.944","2022/10/28 19:20:33.944","-0.6931471805599453","true"
"4","start_event_compliant","2022/10/28 19:17:18.050","2022/10/28 19:17:18.050","-0.6931471805599453","true"
"4","identify service agent","2022/10/28 19:18:18.050","2022/10/28 19:18:18.050","-0.6931471805599453","true"
"4","retrieve SLA","2022/10/28 19:19:18.050","2022/10/28 19:19:18.050","-0.6931471805599453","true"
"4","end_event_keep calm","2022/10/28 19:22:18.050","2022/10/28 19:22:18.050","-0.6931471805599453","true"
"5","start_event_compliant","2022/10/28 19:21:27.868","2022/10/28 19:21:27.868","-0.6931471805599453","true"
"5","identify service agent","2022/10/28 19:22:27.868","2022/10/28 19:22:27.868","-0.6931471805599453","true"
"5","retrieve SLA","2022/10/28 19:23:27.868","2022/10/28 19:23:27.868","-0.6931471805599453","true"
"5","end_event_keep calm","2022/10/28 19:26:27.868","2022/10/28 19:26:27.868","-0.6931471805599453","true"
"6","start_event_compliant","2022/10/28 19:25:27.358","2022/10/28 19:25:27.358","-0.6931471805599453","true"
"6","identify service agent","2022/10/28 19:26:27.358","2022/10/28 19:26:27.358","-0.6931471805599453","true"
"6","retrieve SLA","2022/10/28 19:27:27.358","2022/10/28 19:27:27.358","-0.6931471805599453","true"
"6","event_MESSAGE_forward compliant","2022/10/28 19:30:27.358","2022/10/28 19:30:27.358","-0.6931471805599453","true"
"6","event_MESSAGE_installation confirm","2022/10/28 19:31:27.358","2022/10/28 19:31:27.358","-0.6931471805599453","true"
"6","CC_CM_end_event_","2022/10/28 19:32:27.358","2022/10/28 19:32:27.358","-0.6931471805599453","true"
"7","start_event_compliant","2022/10/28 19:25:45.226","2022/10/28 19:25:45.226","-0.6931471805599453","true"
"7","identify service agent","2022/10/28 19:26:45.226","2022/10/28 19:26:45.226","-0.6931471805599453","true"
"7","retrieve SLA","2022/10/28 19:27:45.226","2022/10/28 19:27:45.226","-0.6931471805599453","true"
"7","end_event_keep calm","2022/10/28 19:30:45.226","2022/10/28 19:30:45.226","-0.6931471805599453","true"
"8","start_event_compliant","2022/10/28 19:26:13.305","2022/10/28 19:26:13.305","-0.6931471805599453","true"
"8","identify service agent","2022/10/28 19:27:13.305","2022/10/28 19:27:13.305","-0.6931471805599453","true"
"8","retrieve SLA","2022/10/28 19:28:13.305","2022/10/28 19:28:13.305","-0.6931471805599453","true"
"8","end_event_keep calm","2022/10/28 19:31:13.305","2022/10/28 19:31:13.305","-0.6931471805599453","true"
"9","start_event_compliant","2022/10/28 19:30:25.351","2022/10/28 19:30:25.351","-0.6931471805599453","true"
"9","identify service agent","2022/10/28 19:31:25.351","2022/10/28 19:31:25.351","-0.6931471805599453","true"
"9","retrieve SLA","2022/10/28 19:32:25.351","2022/10/28 19:32:25.351","-0.6931471805599453","true"
"9","end_event_keep calm","2022/10/28 19:35:25.351","2022/10/28 19:35:25.351","-0.6931471805599453","true"
"10","start_event_compliant","2022/10/28 19:34:25.825","2022/10/28 19:34:25.825","-0.6931471805599453","true"
"10","identify service agent","2022/10/28 19:35:25.825","2022/10/28 19:35:25.825","-0.6931471805599453","true"
"10","retrieve SLA","2022/10/28 19:36:25.825","2022/10/28 19:36:25.825","-0.6931471805599453","true"
"10","event_MESSAGE_forward compliant","2022/10/28 19:39:25.825","2022/10/28 19:39:25.825","-0.6931471805599453","true"
"10","event_MESSAGE_installation confirm","2022/10/28 19:40:25.825","2022/10/28 19:40:25.825","-0.6931471805599453","true"
"10","CC_CM_end_event_","2022/10/28 19:41:25.825","2022/10/28 19:41:25.825","-0.6931471805599453","true"
"11","start_event_compliant","2022/10/28 19:34:36.706","2022/10/28 19:34:36.706","-0.6931471805599453","true"
"11","identify service agent","2022/10/28 19:35:36.706","2022/10/28 19:35:36.706","-0.6931471805599453","true"
"11","retrieve SLA","2022/10/28 19:36:36.706","2022/10/28 19:36:36.706","-0.6931471805599453","true"
"11","event_MESSAGE_forward compliant","2022/10/28 19:39:36.706","2022/10/28 19:39:36.706","-0.6931471805599453","true"
"11","event_MESSAGE_installation confirm","2022/10/28 19:40:36.706","2022/10/28 19:40:36.706","-0.6931471805599453","true"
"11","CC_CM_end_event_","2022/10/28 19:41:36.706","2022/10/28 19:41:36.706","-0.6931471805599453","true"
"12","start_event_compliant","2022/10/28 19:40:26.625","2022/10/28 19:40:26.625","-0.6931471805599453","true"
"12","identify service agent","2022/10/28 19:41:26.625","2022/10/28 19:41:26.625","-0.6931471805599453","true"
"12","retrieve SLA","2022/10/28 19:42:26.625","2022/10/28 19:42:26.625","-0.6931471805599453","true"
"12","event_MESSAGE_forward compliant","2022/10/28 19:45:26.625","2022/10/28 19:45:26.625","-0.6931471805599453","true"
"12","event_MESSAGE_installation confirm","2022/10/28 19:46:26.625","2022/10/28 19:46:26.625","-0.6931471805599453","true"
"12","CC_CM_end_event_","2022/10/28 19:47:26.625","2022/10/28 19:47:26.625","-0.6931471805599453","true"
"13","start_event_compliant","2022/10/28 19:46:14.196","2022/10/28 19:46:14.196","-0.6931471805599453","true"
"13","identify service agent","2022/10/28 19:47:14.196","2022/10/28 19:47:14.196","-0.6931471805599453","true"
"13","retrieve SLA","2022/10/28 19:48:14.196","2022/10/28 19:48:14.196","-0.6931471805599453","true"
"13","end_event_keep calm","2022/10/28 19:51:14.196","2022/10/28 19:51:14.196","-0.6931471805599453","true"
"14","start_event_compliant","2022/10/28 19:59:17.365","2022/10/28 19:59:17.365","-0.6931471805599453","true"
"14","identify service agent","2022/10/28 20:00:17.365","2022/10/28 20:00:17.365","-0.6931471805599453","true"
"14","retrieve SLA","2022/10/28 20:01:17.365","2022/10/28 20:01:17.365","-0.6931471805599453","true"
"14","event_MESSAGE_forward compliant","2022/10/28 20:04:17.365","2022/10/28 20:04:17.365","-0.6931471805599453","true"
"14","event_MESSAGE_installation confirm","2022/10/28 20:05:17.365","2022/10/28 20:05:17.365","-0.6931471805599453","true"
"14","CC_CM_end_event_","2022/10/28 20:06:17.365","2022/10/28 20:06:17.365","-0.6931471805599453","true"
"15","start_event_compliant","2022/10/28 19:59:32.702","2022/10/28 19:59:32.702","-0.6931471805599453","true"
"15","identify service agent","2022/10/28 20:00:32.702","2022/10/28 20:00:32.702","-0.6931471805599453","true"
"15","retrieve SLA","2022/10/28 20:01:32.702","2022/10/28 20:01:32.702","-0.6931471805599453","true"
"15","event_MESSAGE_forward compliant","2022/10/28 20:04:32.702","2022/10/28 20:04:32.702","-0.6931471805599453","true"
"15","event_MESSAGE_installation confirm","2022/10/28 20:05:32.702","2022/10/28 20:05:32.702","-0.6931471805599453","true"
"15","CC_CM_end_event_","2022/10/28 20:06:32.702","2022/10/28 20:06:32.702","-0.6931471805599453","true"
"16","start_event_compliant","2022/10/28 20:07:03.694","2022/10/28 20:07:03.694","-0.6931471805599453","true"
"16","identify service agent","2022/10/28 20:08:03.694","2022/10/28 20:08:03.694","-0.6931471805599453","true"
"16","retrieve SLA","2022/10/28 20:09:03.694","2022/10/28 20:09:03.694","-0.6931471805599453","true"
"16","event_MESSAGE_forward compliant","2022/10/28 20:12:03.694","2022/10/28 20:12:03.694","-0.6931471805599453","true"
"16","event_MESSAGE_installation confirm","2022/10/28 20:13:03.694","2022/10/28 20:13:03.694","-0.6931471805599453","true"
"16","CC_CM_end_event_","2022/10/28 20:14:03.694","2022/10/28 20:14:03.694","-0.6931471805599453","true"
"17","start_event_compliant","2022/10/28 20:07:57.864","2022/10/28 20:07:57.864","-0.6931471805599453","true"
"17","identify service agent","2022/10/28 20:08:57.864","2022/10/28 20:08:57.864","-0.6931471805599453","true"
"17","retrieve SLA","2022/10/28 20:09:57.864","2022/10/28 20:09:57.864","-0.6931471805599453","true"
"17","end_event_keep calm","2022/10/28 20:12:57.864","2022/10/28 20:12:57.864","-0.6931471805599453","true"
"18","start_event_compliant","2022/10/28 20:08:03.977","2022/10/28 20:08:03.977","-0.6931471805599453","true"
"18","identify service agent","2022/10/28 20:09:03.977","2022/10/28 20:09:03.977","-0.6931471805599453","true"
"18","retrieve SLA","2022/10/28 20:10:03.977","2022/10/28 20:10:03.977","-0.6931471805599453","true"
"18","end_event_keep calm","2022/10/28 20:13:03.977","2022/10/28 20:13:03.977","-0.6931471805599453","true"
"19","start_event_compliant","2022/10/28 20:23:52.487","2022/10/28 20:23:52.487","-0.6931471805599453","true"
"19","identify service agent","2022/10/28 20:24:52.487","2022/10/28 20:24:52.487","-0.6931471805599453","true"
"19","retrieve SLA","2022/10/28 20:25:52.487","2022/10/28 20:25:52.487","-0.6931471805599453","true"
"19","event_MESSAGE_forward compliant","2022/10/28 20:28:52.487","2022/10/28 20:28:52.487","-0.6931471805599453","true"
"19","event_MESSAGE_installation confirm","2022/10/28 20:29:52.487","2022/10/28 20:29:52.487","-0.6931471805599453","true"
"19","CC_CM_end_event_","2022/10/28 20:30:52.487","2022/10/28 20:30:52.487","-0.6931471805599453","true"
"20","start_event_compliant","2022/10/28 20:24:14.023","2022/10/28 20:24:14.023","-0.6931471805599453","true"
"20","identify service agent","2022/10/28 20:25:14.023","2022/10/28 20:25:14.023","-0.6931471805599453","true"
"20","retrieve SLA","2022/10/28 20:26:14.023","2022/10/28 20:26:14.023","-0.6931471805599453","true"
"20","event_MESSAGE_forward compliant","2022/10/28 20:29:14.023","2022/10/28 20:29:14.023","-0.6931471805599453","true"
"20","event_MESSAGE_installation confirm","2022/10/28 20:30:14.023","2022/10/28 20:30:14.023","-0.6931471805599453","true"
"20","CC_CM_end_event_","2022/10/28 20:31:14.023","2022/10/28 20:31:14.023","-0.6931471805599453","true"
"21","start_event_compliant","2022/10/28 20:24:43.470","2022/10/28 20:24:43.470","-0.6931471805599453","true"
"21","identify service agent","2022/10/28 20:25:43.470","2022/10/28 20:25:43.470","-0.6931471805599453","true"
